Start	0	0
addReturnedVoid	0.55084705352783	0.55084705352783
removeInterfaceToClassExtends	0.07762598991394	0.62847304344177
fixFullnspathFunctions	0.31325197219849	0.94172501564026
SpotPHPNativeFunctions	1.1244378089905	2.0661628246307
Spot Extensions Native Functions	0.39061212539673	2.4567749500275
spotFallbackConstants	0.11308407783508	2.5698590278625
constants : 0	0.040947914123535	2.6108069419861
spotFallbackConstants	7.0095062255859E-5	2.6108770370483
FixFullnspathConstants	0.29217600822449	2.9030530452728
spotPHPNativeConstants	0.49386286735535	3.3969159126282
FinishIsModified	1.2708020210266	4.6677179336548
IsInIgnoredDir	0.0016570091247559	4.6693749427795
Final	0.00042605400085449	4.6698009967804
